Area Name,Total/Rural/Urban,Total Population,Male Population,Female Population,Total population attending educational institution,Male population attending educational institution,Female population attending educational institution,Total literates,Male literates,Female literates
District - Ukhrul  08,Rural,140778,73465,67313,52618,28008,24610,43184,23202,19982
District - Ukhrul  08,Urban,0,0,0,0,0,0,0,0,0
District - Chandel  09,Total,118327,59741,58586,33800,18403,15397,28534,15689,12845
District - Chandel  09,Rural,103365,52124,51241,29294,15924,13370,25169,13807,11362
District - Chandel  09,Urban,14962,7617,7345,4506,2479,2027,3365,1882,1483
State - MIZORAM  15,Total,888573,459109,429464,241314,125079,116235,215981,112047,103934
State - MIZORAM  15,Rural,447567,232726,214841,104615,55506,49109,91852,48928,42924
State - MIZORAM  15,Urban,441006,226383,214623,136699,69573,67126,124129,63119,61010
District - Mamit *  01,Total,62785,33114,29671,13931,7462,6469,12406,6625,5781
District - Mamit *  01,Rural,52132,27603,24529,11044,5978,5066,9808,5305,4503
District - Mamit *  01,Urban,10653,5511,5142,2887,1484,1403,2598,1320,1278
District - Kolasib *  02,Total,65960,34562,31398,17073,8754,8319,15283,7879,7404
District - Kolasib *  02,Rural,29461,15561,13900,6384,3295,3089,5707,2970,2737
District - Kolasib *  02,Urban,36499,19001,17498,10689,5459,5230,9576,4909,4667
District - Aizawl  03,Total,325676,166877,158799,98588,50076,48512,89717,45461,44256
District - Aizawl  03,Rural,77531,40333,37198,20489,10573,9916,18289,9402,8887
District - Aizawl  03,Urban,248145,126544,121601,78099,39503,38596,71428,36059,35369
District - Champhai *  04,Total,108392,55756,52636,29646,15271,14375,26114,13537,12577
District - Champhai *  04,Rural,66343,33796,32547,17665,9151,8514,15319,8002,7317
District - Champhai *  04,Urban,42049,21960,20089,11981,6120,5861,10795,5535,5260
District - Serchhip *  05,Total,53861,27380,26481,15550,7995,7555,13749,7059,6690
District - Serchhip *  05,Rural,27983,14369,13614,7775,4040,3735,6851,3546,3305
District - Serchhip *  05,Urban,25878,13011,12867,7775,3955,3820,6898,3513,3385
District - Lunglei  06,Total,137223,71402,65821,33495,17562,15933,29953,15729,14224
District - Lunglei  06,Rural,79267,41283,37984,15418,8278,7140,13678,7394,6284
District - Lunglei  06,Urban,57956,30119,27837,18077,9284,8793,16275,8335,7940
District - Lawngtlai  07,Total,73620,38776,34844,15228,8654,6574,13407,7702,5705
District - Lawngtlai  07,Rural,73620,38776,34844,15228,8654,6574,13407,7702,5705
District - Lawngtlai  07,Urban,0,0,0,0,0,0,0,0,0
District - Saiha *  08,Total,61056,31242,29814,17803,9305,8498,15352,8055,7297
District - Saiha *  08,Rural,41230,21005,20225,10612,5537,5075,8793,4607,4186
District - Saiha *  08,Urban,19826,10237,9589,7191,3768,3423,6559,3448,3111
State - NAGALAND  13,Total,1990036,1047141,942895,651404,350165,301239,566825,306921,259904
State - NAGALAND  13,Rural,1647249,859716,787533,519238,279749,239489,451206,245025,206181
State - NAGALAND  13,Urban,342787,187425,155362,132166,70416,61750,115619,61896,53723
District - Mon  01,Total,260652,138753,121899,54175,30011,24164,47998,26790,21208
District - Mon  01,Rural,244062,129615,114447,47220,26231,20989,42191,23607,18584
District - Mon  01,Urban,16590,9138,7452,6955,3780,3175,5807,3183,2624
District - Tuensang  02,Total,414818,218678,196140,114900,64011,50889,102344,57610,44734
District - Tuensang  02,Rural,385046,201985,183061,103190,57679,45511,91888,51903,39985
District - Tuensang  02,Urban,29772,16693,13079,11710,6332,5378,10456,5707,4749
District - Mokokchung  03,Total,232085,120929,111156,94313,49422,44891,84669,44554,40115
District - Mokokchung  03,Rural,200871,103748,97123,82325,43254,39071,73871,39020,34851
District - Mokokchung  03,Urban,31214,17181,14033,11988,6168,5820,10798,5534,5264
District - Zunheboto  04,Total,153955,79056,74899,54162,28398,25764,46355,24273,22082
District - Zunheboto  04,Rural,130874,66438,64436,43942,23048,20894,37102,19424,17678
District - Zunheboto  04,Urban,23081,12618,10463,10220,5350,4870,9253,4849,4404
District - Wokha  05,Total,161223,83670,77553,67453,36095,31358,60733,32830,27903
District - Wokha  05,Rural,123587,63259,60328,48155,25618,22537,42969,23145,19824
District - Wokha  05,Urban,37636,20411,17225,19298,10477,8821,17764,9685,8079
District - Dimapur *  06,Total,309024,166663,142361,101580,54103,47477,87863,47041,40822
District - Dimapur *  06,Rural,194424,104263,90161,64330,34204,30126,55925,29904,26021
District - Dimapur *  06,Urban,114600,62400,52200,37250,19899,17351,31938,17137,14801
District - Kohima  07,Total,310084,162251,147833,114353,60745,53608,94894,50818,44076
District - Kohima  07,Rural,233054,120590,112464,83695,44647,39048,69124,37197,31927
District - Kohima  07,Urban,77030,41661,35369,30658,16098,14560,25770,13621,12149
District - Phek  08,Total,148195,77141,71054,50468,27380,23088,41969,23005,18964
District - Phek  08,Rural,135331,69818,65513,46381,25068,21313,38136,20825,17311
District - Phek  08,Urban,12864,7323,5541,4087,2312,1775,3833,2180,1653
State - PUNJAB  03,Total,24358999,12985045,11373954,5811218,3192103,2619115,5201946,2857105,2344841
State - PUNJAB  03,Rural,16096488,8516596,7579892,3673107,2036137,1636970,3297232,1830393,1466839
State - PUNJAB  03,Urban,8262511,4468449,3794062,2138111,1155966,982145,1904714,1026712,878002
District - Gurdaspur  01,Total,2104011,1113077,990934,522028,285123,236905,467377,255142,212235
District - Gurdaspur  01,Rural,1568788,826787,742001,374972,205938,169034,335831,184640,151191
District - Gurdaspur  01,Urban,535223,286290,248933,147056,79185,67871,131546,70502,61044
District - Amritsar  02,Total,3096077,1650589,1445488,713592,400309,313283,637613,357530,280083
District - Amritsar  02,Rural,1872802,993631,879171,405867,232907,172960,363518,209020,154498
District - Amritsar  02,Urban,1223275,656958,566317,307725,167402,140323,274095,148510,125585
District - Kapurthala  03,Total,754521,399623,354898,193070,104759,88311,169224,91450,77774
District - Kapurthala  03,Rural,507994,265973,242021,126103,68423,57680,110553,59728,50825
District - Kapurthala  03,Urban,246527,133650,112877,66967,36336,30631,58671,31722,26949
District - Jalandhar  04,Total,1962700,1040177,922523,496406,263590,232816,444755,235607,209148
District - Jalandhar  04,Rural,1030717,539021,491696,252471,133986,118485,226869,120253,106616
District - Jalandhar  04,Urban,931983,501156,430827,243935,129604,114331,217886,115354,102532
District - Hoshiarpur  05,Total,1480736,765132,715604,377177,200776,176401,347399,184762,162637
District - Hoshiarpur  05,Rural,1188662,610675,577987,298138,159148,138990,274304,146377,127927
District - Hoshiarpur  05,Urban,292074,154457,137617,79039,41628,37411,73095,38385,34710
District - Nawanshahr *  06,Total,587468,306902,280566,152270,79589,72681,135288,71300,63988
District - Nawanshahr *  06,Rural,506402,264515,241887,130353,68272,62081,115751,61268,54483
District - Rupnagar  07,Total,1116108,596582,519526,284725,155105,129620,260335,141819,118516
District - Rupnagar  07,Rural,753701,403147,350554,182953,99956,82997,167447,91541,75906
District - Rupnagar  07,Urban,362407,193435,168972,101772,55149,46623,92888,50278,42610
District - Fatehgarh Sahib *  08,Total,538041,290137,247904,131372,71470,59902,120195,65288,54907
District - Fatehgarh Sahib *  08,Rural,386950,207937,179013,92008,50431,41577,84896,46457,38439
District - Fatehgarh Sahib *  08,Urban,151091,82200,68891,39364,21039,18325,35299,18831,16468
District - Ludhiana  09,Total,3032831,1662716,1370115,728673,393672,335001,649128,349797,299331
District - Ludhiana  09,Rural,1339178,712593,626585,317199,170492,146707,289076,155174,133902
District - Ludhiana  09,Urban,1693653,950123,743530,411474,223180,188294,360052,194623,165429
District - Moga *  10,Total,894854,474139,420715,199749,107913,91836,178644,96308,82336
District - Moga *  10,Rural,716214,379322,336892,156075,84684,71391,139429,75560,63869
District - Moga *  10,Urban,178640,94817,83823,43674,23229,20445,39215,20748,18467
District - Firozpur  11,Total,1746107,926224,819883,390491,222931,167560,343597,197196,146401
District - Firozpur  11,Rural,1295382,683870,611512,272994,159273,113721,239852,141050,98802
District - Firozpur  11,Urban,450725,242354,208371,117497,63658,53839,103745,56146,47599
District - Muktsar *  12,Total,777493,411217,366276,163335,92590,70745,146338,83191,63147
District - Muktsar *  12,Rural,578929,306070,272859,113371,65249,48122,101527,58644,42883
District - Muktsar *  12,Urban,198564,105147,93417,49964,27341,22623,44811,24547,20264
District - Faridkot  13,Total,550892,292596,258296,124852,69333,55519,110582,61408,49174
District - Faridkot  13,Rural,357321,188943,168378,75135,42308,32827,66496,37521,28975
District - Faridkot  13,Urban,193571,103653,89918,49717,27025,22692,44086,23887,20199
District - Bathinda  14,Total,1183295,632809,550486,268873,149859,119014,240909,134519,106390
District - Bathinda  14,Rural,831541,444118,387423,174369,97851,76518,155616,87625,67991
District - Bathinda  14,Urban,351754,188691,163063,94504,52008,42496,85293,46894,38399
District - Mansa *  15,Total,688758,366446,322312,147799,82888,64911,129732,72775,56957
District - Mansa *  15,Rural,546329,290763,255566,111245,63006,48239,97136,55081,42055
District - Mansa *  15,Urban,142429,75683,66746,36554,19882,16672,32596,17694,14902
District - Sangrur  16,Total,2000173,1069289,930884,456725,255003,201722,409122,228702,180420
District - Sangrur  16,Rural,1415354,756598,658756,309674,174841,134833,277666,157123,120543
District - Sangrur  16,Urban,584819,312691,272128,147051,80162,66889,131456,71579,59877
District - Patiala  17,Total,1844934,987390,857544,460081,257193,202888,411708,230311,181397
District - Patiala  17,Rural,1200224,642633,557591,280180,159372,120808,251265,143331,107934
District - Patiala  17,Urban,644710,344757,299953,179901,97821,82080,160443,86980,73463
State - SIKKIM  11,Total,540851,288484,252367,156112,80437,75675,127789,66123,61666
State - SIKKIM  11,Rural,480981,255774,225207,138268,71018,67250,112356,57972,54384
State - SIKKIM  11,Urban,59870,32710,27160,17844,9419,8425,15433,8151,7282
District - North  01,Total,41030,23414,17616,10508,5496,5012,8869,4665,4204
District - North  01,Rural,39782,22643,17139,10210,5316,4894,8601,4506,4095
District - North  01,Urban,1248,771,477,298,180,118,268,159,109
District - West  02,Total,123256,63912,59344,34917,18075,16842,26995,14053,12942
District - West  02,Rural,121432,62885,58547,34422,17810,16612,26600,13841,12759
District - West  02,Urban,1824,1027,797,495,265,230,395,212,183
District - South  03,Total,131525,68241,63284,38046,19228,18818,30753,15511,15242
District - South  03,Rural,127579,66096,61483,36765,18564,18201,29660,14955,14705
District - South  03,Urban,3946,2145,1801,1281,664,617,1093,556,537
District - East  04,Total,245040,132917,112123,72641,37638,35003,61172,31894,29278
District - East  04,Rural,192188,104150,88038,56871,29328,27543,47495,24670,22825
District - East  04,Urban,52852,28767,24085,15770,8310,7460,13677,7224,6453
State - TRIPURA  16,Total,3199203,1642225,1556978,805141,431233,373908,733164,395434,337730
State - TRIPURA  16,Rural,2653453,1363638,1289815,668260,360212,308048,605268,328892,276376
State - TRIPURA  16,Urban,545750,278587,267163,136881,71021,65860,127896,66542,61354
District - West Tripura  01,Total,1532982,785579,747403,404511,214690,189821,370644,198081,172563
District - West Tripura  01,Rural,1122915,577182,545733,301889,161654,140235,274678,148326,126352
District - West Tripura  01,Urban,410067,208397,201670,102622,53036,49586,95966,49755,46211
District - South Tripura  02,Total,767440,394605,372835,192781,105166,87615,173889,95626,78263
District - South Tripura  02,Rural,713293,366333,346960,178871,97729,81142,160995,88694,72301
District - South Tripura  02,Urban,54147,28272,25875,13910,7437,6473,12894,6932,5962
District - Dhalai  *  03,Total,307868,159095,148773,68103,37533,30570,61309,34083,27226
District - Dhalai  *  03,Rural,289001,149128,139873,63551,35136,28415,57023,31828,25195
District - Dhalai  *  03,Urban,18867,9967,8900,4552,2397,2155,4286,2255,2031
District - North Tripura  04,Total,590913,302946,287967,139746,73844,65902,127322,67644,59678
District - North Tripura  04,Rural,528244,270995,257249,123949,65693,58256,112572,60044,52528
District - North Tripura  04,Urban,62669,31951,30718,15797,8151,7646,14750,7600,7150
State - UTTARANCHAL  05,Total,8489349,4325924,4163425,2435611,1334868,1100743,2187949,1208157,979792
State - UTTARANCHAL  05,Rural,6310275,3144590,3165685,1775499,974940,800559,1593143,882806,710337
State - UTTARANCHAL  05,Urban,2179074,1181334,997740,660112,359928,300184,594806,325351,269455
District - Uttarkashi  01,Total,295013,152016,142997,87067,49412,37655,78378,45144,33234
District - Uttarkashi  01,Rural,272095,138737,133358,78324,44389,33935,70249,40454,29795
District - Uttarkashi  01,Urban,22918,13279,9639,8743,5023,3720,8129,4690,3439
District - Chamoli  02,Total,370359,183745,186614,118195,63948,54247,108475,58952,49523
District - Chamoli  02,Rural,319656,154197,165459,100143,53803,46340,91776,49551,42225
District - Chamoli  02,Urban,50703,29548,21155,18052,10145,7907,16699,9401,7298
District - Rudraprayag *  03,Total,227439,107535,119904,72268,38788,33480,66693,35996,30697
District - Rudraprayag *  03,Rural,224707,105643,119064,71621,38421,33200,66126,35673,30453
District - Rudraprayag *  03,Urban,2732,1892,840,647,367,280,567,323,244
District - Tehri Garhwal  04,Total,604747,295168,309579,186089,101024,85065,167302,91440,75862
District - Tehri Garhwal  04,Rural,544901,258401,286500,167343,90469,76874,150440,81910,68530
District - Tehri Garhwal  04,Urban,59846,36767,23079,18746,10555,8191,16862,9530,7332
District - Dehradun  05,Total,1282143,679583,602560,386787,208486,178301,344835,186445,158390
District - Dehradun  05,Rural,603401,315305,288096,173656,94327,79329,155104,84708,70396
District - Dehradun  05,Urban,678742,364278,314464,213131,114159,98972,189731,101737,87994
District - Garhwal  06,Total,697078,331061,366017,221659,117416,104243,204922,109059,95863
District - Garhwal  06,Rural,607203,281706,325497,191007,100677,90330,176367,93423,82944
District - Garhwal  06,Urban,89875,49355,40520,30652,16739,13913,28555,15636,12919
District - Pithoragarh  07,Total,462289,227615,234674,137293,74384,62909,122120,67329,54791
District - Pithoragarh  07,Rural,402456,194810,207646,116308,62644,53664,102570,56334,46236
District - Pithoragarh  07,Urban,59833,32805,27028,20985,11740,9245,19550,10995,8555
District - Bageshwar  08,Total,249462,118510,130952,68253,36738,31515,61100,33186,27914
District - Bageshwar  08,Rural,241659,114199,127460,65735,35387,30348,58941,32037,26904
District - Bageshwar  08,Urban,7803,4311,3492,2518,1351,1167,2159,1149,1010
District - Almora  09,Total,630567,293848,336719,190450,101315,89135,172138,92287,79851
District - Almora  09,Rural,576062,263128,312934,173252,91929,81323,155983,83465,72518
District - Almora  09,Urban,54505,30720,23785,17198,9386,7812,16155,8822,7333
District - Champawat  10,Total,224542,111084,113458,62312,34960,27352,55647,31657,23990
District - Champawat  10,Rural,190764,92816,97948,52291,29555,22736,46601,26770,19831
District - Champawat  10,Urban,33778,18268,15510,10021,5405,4616,9046,4887,4159
District - Nainital  11,Total,762909,400254,362655,225512,121698,103814,204772,111165,93607
District - Nainital  11,Rural,493859,256956,236903,142825,77589,65236,129622,70951,58671
District - Nainital  11,Urban,269050,143298,125752,82687,44109,38578,75150,40214,34936
District - Udham Singh Nagar *  12,Total,1235614,649484,586130,322680,181646,141034,286677,162916,123761
District - Udham Singh Nagar *  12,Rural,832600,434654,397946,212514,120725,91789,186984,107499,79485
District - Udham Singh Nagar *  12,Urban,403014,214830,188184,110166,60921,49245,99693,55417,44276
District - Hardwar  13,Total,1447187,776021,671166,357046,205053,151993,314890,182581,132309
District - Hardwar  13,Rural,1000912,534038,466874,230480,135025,95455,202380,120031,82349
District - Hardwar  13,Urban,446275,241983,204292,126566,70028,56538,112510,62550,49960
State - ARUNACHAL PRADESH  12,Total,1097968,579941,518027,255934,142367,113567,215669,120968,94701
State - ARUNACHAL PRADESH  12,Rural,870087,454680,415407,182748,102796,79952,153131,86869,66262
State - ARUNACHAL PRADESH  12,Urban,227881,125261,102620,73186,39571,33615,62538,34099,28439
District - Tawang  01,Total,38924,21846,17078,6760,3688,3072,4861,2673,2188
District - Tawang  01,Rural,30548,15534,15014,5332,2941,2391,3843,2133,1710
District - Tawang  01,Urban,8376,6312,2064,1428,747,681,1018,540,478
District - West Kameng  02,Total,74599,42542,32057,15958,8838,7120,13479,7518,5961
District - West Kameng  02,Rural,67906,38933,28973,13769,7652,6117,11553,6467,5086
District - West Kameng  02,Urban,6693,3609,3084,2189,1186,1003,1926,1051,875
District - East Kameng  03,Total,57179,28802,28377,10950,6521,4429,9422,5691,3731
District - East Kameng  03,Rural,42177,20892,21285,6479,3918,2561,5597,3426,2171
District - East Kameng  03,Urban,15002,7910,7092,4471,2603,1868,3825,2265,1560
District - Papum Pare *  04,Total,122003,64184,57819,37511,20440,17071,32064,17672,14392
District - Papum Pare *  04,Rural,59961,31138,28823,17190,9525,7665,14880,8323,6557
District - Papum Pare *  04,Urban,62042,33046,28996,20321,10915,9406,17184,9349,7835
District - Lower Subansiri  05,Total,98244,49542,48702,23002,12597,10405,19530,10802,8728
District - Lower Subansiri  05,Rural,85860,43062,42798,18129,10135,7994,15661,8847,6814
District - Lower Subansiri  05,Urban,12384,6480,5904,4873,2462,2411,3869,1955,1914
District - Upper Subansiri  06,Total,55346,28240,27106,13854,7689,6165,12172,6822,5350
District - Upper Subansiri  06,Rural,39590,19837,19753,8652,4883,3769,7627,4362,3265
District - Upper Subansiri  06,Urban,15756,8403,7353,5202,2806,2396,4545,2460,2085
District - West Siang  07,Total,103918,54349,49569,30673,16173,14500,26478,14047,12431
District - West Siang  07,Rural,82806,42389,40417,23479,12360,11119,20267,10718,9549
District - West Siang  07,Urban,21112,11960,9152,7194,3813,3381,6211,3329,2882
District - East Siang  08,Total,87397,45265,42132,26084,13900,12184,21036,11252,9784
District - East Siang  08,Rural,65432,33634,31798,18516,9820,8696,14462,7704,6758
District - East Siang  08,Urban,21965,11631,10334,7568,4080,3488,6574,3548,3026
District - Upper Siang *  09,Total,33363,18057,15306,7030,3800,3230,5596,3074,2522
District - Upper Siang *  09,Rural,33363,18057,15306,7030,3800,3230,5596,3074,2522
District - Upper Siang *  09,Urban,0,0,0,0,0,0,0,0,0
District - Dibang Valley  10,Total,57720,31442,26278,13901,7777,6124,11865,6685,5180
District - Dibang Valley  10,Rural,47613,25715,21898,10040,5584,4456,8593,4811,3782
District - Dibang Valley  10,Urban,10107,5727,4380,3861,2193,1668,3272,1874,1398
District - Lohit  11,Total,143527,77314,66213,29056,16661,12395,25010,14455,10555
District - Lohit  11,Rural,116765,62569,54196,21186,12239,8947,18070,10544,7526
District - Lohit  11,Urban,26762,14745,12017,7870,4422,3448,6940,3911,3029
District - Changlang  12,Total,125422,65821,59601,24129,13899,10230,20279,11776,8503
District - Changlang  12,Rural,113034,58834,54200,20386,11826,8560,16978,9938,7040
District - Changlang  12,Urban,12388,6987,5401,3743,2073,1670,3301,1838,1463
District - Tirap  13,Total,100326,52537,47789,17026,10384,6642,13877,8501,5376
District - Tirap  13,Rural,85032,44086,40946,12560,8113,4447,10004,6522,3482
District - Tirap  13,Urban,15294,8451,6843,4466,2271,2195,3873,1979,1894
State - CHANDIGARH  04,Total,900635,506938,393697,246965,136119,110846,217397,119969,97428
State - CHANDIGARH  04,Rural,92120,56816,35304,20281,11401,8880,16545,9373,7172
State - CHANDIGARH  04,Urban,808515,450122,358393,226684,124718,101966,200852,110596,90256
District - Chandigarh  01,Total,900635,506938,393697,246965,136119,110846,217397,119969,97428
District - Chandigarh  01,Rural,92120,56816,35304,20281,11401,8880,16545,9373,7172
District - Chandigarh  01,Urban,808515,450122,358393,226684,124718,101966,200852,110596,90256
State - DELHI  07,Total,13850507,7607234,6243273,3653411,2000076,1653335,3266580,1793079,1473501
State - DELHI  07,Rural,944727,522087,422640,252897,142079,110818,225624,127297,98327
State - DELHI  07,Urban,12905780,7085147,5820633,3400514,1857997,1542517,3040956,1665782,1375174
District - North West   *  01,Total,2860869,1571689,1289180,763012,419745,343267,683421,376708,306713
District - North West   *  01,Rural,265363,146741,118622,74456,41709,32747,66976,37601,29375
District - North West   *  01,Urban,2595506,1424948,1170558,688556,378036,310520,616445,339107,277338
District - North   *  02,Total,781525,427882,353643,205746,111192,94554,183389,99226,84163
District - North   *  02,Rural,46585,25724,20861,12400,7018,5382,11114,6311,4803
District - North   *  02,Urban,734940,402158,332782,193346,104174,89172,172275,92915,79360
District - North East   *  03,Total,1768061,956078,811983,482137,263909,218228,431310,236944,194366
District - North East   *  03,Rural,141547,76558,64989,38581,21364,17217,34447,19205,15242
District - North East   *  03,Urban,1626514,879520,746994,443556,242545,201011,396863,217739,179124
District - East   *  04,Total,1463583,794074,669509,388687,210233,178454,348856,189106,159750
District - East   *  04,Rural,18223,10119,8104,3724,2017,1707,3353,1820,1533
District - East   *  04,Urban,1445360,783955,661405,384963,208216,176747,345503,187286,158217
District - New Delhi  05,Total,179112,99956,79156,49992,27478,22514,44800,24784,20016
District - New Delhi  05,Rural,0,0,0,0,0,0,0,0,0
District - New Delhi  05,Urban,179112,99956,79156,49992,27478,22514,44800,24784,20016
District - Central  *  06,Total,646385,350831,295554,160538,83907,76631,142275,74403,67872
District - Central  *  06,Rural,0,0,0,0,0,0,0,0,0
District - Central  *  06,Urban,646385,350831,295554,160538,83907,76631,142275,74403,67872
District - West   *  07,Total,2128908,1163084,965824,537919,290906,247013,477621,258314,219307
District - West   *  07,Rural,86794,49366,37428,20833,11734,9099,17884,10114,7770
District - West   *  07,Urban,2042114,1113718,928396,517086,279172,237914,459737,248200,211537
District - South West   *  08,Total,1755041,983615,771426,472439,262890,209549,425019,237100,187919
District - South West   *  08,Rural,225454,123279,102175,62590,35305,27285,56223,31801,24422
District - South West   *  08,Urban,1529587,860336,669251,409849,227585,182264,368796,205299,163497
District - South  *  09,Total,2267023,1260025,1006998,592941,329816,263125,529889,296494,233395
District - South  *  09,Rural,160761,90300,70461,40313,22932,17381,35627,20445,15182
District - South  *  09,Urban,2106262,1169725,936537,552628,306884,245744,494262,276049,218213
State - GUJARAT  24,Total,50671017,26385577,24285440,10552630,6023058,4529572,9509503,5466281,4043222
State - GUJARAT  24,Rural,31740767,16317771,15422996,6195212,3599363,2595849,5531109,3247041,2284068
State - GUJARAT  24,Urban,18930250,10067806,8862444,4357418,2423695,1933723,3978394,2219240,1759154
District - Kachchh  01,Total,1583225,815152,768073,290968,168824,122144,258454,151565,106889
District - Kachchh  01,Rural,1108333,567470,540863,190316,113157,77159,167400,100956,66444
District - Kachchh  01,Urban,474892,247682,227210,100652,55667,44985,91054,50609,40445
District - Banas Kantha  02,Total,2504244,1297404,1206840,466333,297257,169076,418048,270504,147544
District - Banas Kantha  02,Rural,2228743,1152573,1076170,400076,258608,141468,356110,234296,121814
District - Banas Kantha  02,Urban,275501,144831,130670,66257,38649,27608,61938,36208,25730
District - Patan  *  03,Total,1182709,612100,570609,230268,140713,89555,206396,127570,78826
District - Patan  *  03,Rural,944281,487266,457015,173822,107900,65922,153969,96986,56983
District - Patan  *  03,Urban,238428,124834,113594,56446,32813,23633,52427,30584,21843
District - Mahesana  04,Total,1837892,953842,884050,417207,243107,174100,385974,225869,160105
District - Mahesana  04,Rural,1426175,737246,688929,310749,182881,127868,285912,169248,116664
District - Mahesana  04,Urban,411717,216596,195121,106458,60226,46232,100062,56621,43441
District - Sabar Kantha  05,Total,2082531,1069554,1012977,468340,271002,197338,426160,248774,177386
District - Sabar Kantha  05,Rural,1857402,952287,905115,408902,237403,171499,371669,217829,153840
District - Sabar Kantha  05,Urban,225129,117267,107862,59438,33599,25839,54491,30945,23546
District - Gandhinagar  06,Total,1334455,697999,636456,309709,180250,129459,283464,165785,117679
District - Gandhinagar  06,Rural,867195,450470,416725,185954,109798,76156,169158,100663,68495
District - Gandhinagar  06,Urban,467260,247529,219731,123755,70452,53303,114306,65122,49184
District - Ahmadabad  07,Total,5816519,3074556,2741963,1286462,732827,553635,1171713,670575,501138
District - Ahmadabad  07,Rural,1152986,601125,551861,213341,129704,83637,188350,116167,72183
District - Ahmadabad  07,Urban,4663533,2473431,2190102,1073121,603123,469998,983363,554408,428955
District - Surendranagar  08,Total,1515148,787650,727498,283150,167695,115455,254627,152233,102394
District - Surendranagar  08,Rural,1112700,576655,536045,193624,117346,76278,171775,105455,66320
District - Surendranagar  08,Urban,402448,210995,191453,89526,50349,39177,82852,46778,36074
District - Rajkot  09,Total,3169881,1642018,1527863,683835,374312,309523,615798,337924,277874
District - Rajkot  09,Rural,1544019,792848,751171,306597,169207,137390,271704,150606,121098
District - Rajkot  09,Urban,1625862,849170,776692,377238,205105,172133,344094,187318,156776
District - Jamnagar  10,Total,1904278,981320,922958,377230,210504,166726,338886,190260,148626
District - Jamnagar  10,Rural,1068022,545345,522677,198262,111947,86315,175251,99887,75364
District - Jamnagar  10,Urban,836256,435975,400281,178968,98557,80411,163635,90373,73262
District - Porbandar  *  11,Total,536835,275821,261014,103095,56909,46186,92746,51442,41304
District - Porbandar  *  11,Rural,275460,141068,134392,47827,26578,21249,41741,23396,18345
District - Porbandar  *  11,Urban,261375,134753,126622,55268,30331,24937,51005,28046,22959
District - Junagadh  12,Total,2448173,1252350,1195823,525318,289032,236286,474534,262382,212152
District - Junagadh  12,Rural,1736645,885414,851231,355584,196769,158815,317999,177073,140926
District - Junagadh  12,Urban,711528,366936,344592,169734,92263,77471,156535,85309,71226
District - Amreli  13,Total,1393918,701593,692325,301873,164979,136894,270308,148407,121901
District - Amreli  13,Rural,1080960,540316,540644,226303,123991,102312,200699,110501,90198
District - Amreli  13,Urban,312958,161277,151681,75570,40988,34582,69609,37906,31703
District - Bhavnagar  14,Total,2469630,1274920,1194710,515018,295359,219659,450575,260918,189657
District - Bhavnagar  14,Rural,1534592,782227,752365,305515,178240,127275,262040,154948,107092
District - Bhavnagar  14,Urban,935038,492693,442345,209503,117119,92384,188535,105970,82565
District - Anand  *  15,Total,1856872,972000,884872,400529,234211,166318,364113,214451,149662
District - Anand  *  15,Rural,1348901,706685,642216,275321,162600,112721,248425,148055,100370
District - Anand  *  15,Urban,507971,265315,242656,125208,71611,53597,115688,66396,49292
District - Kheda  16,Total,2024216,1052823,971393,425569,253158,172411,382055,230478,151577
District - Kheda  16,Rural,1617766,841496,776270,327556,197422,130134,291377,178672,112705
District - Kheda  16,Urban,406450,211327,195123,98013,55736,42277,90678,51806,38872
District - Panch Mahals  17,Total,2025277,1044937,980340,432939,251644,181295,392700,230684,162016
District - Panch Mahals  17,Rural,1771915,912905,859010,368723,215343,153380,334083,197349,136734
District - Panch Mahals  17,Urban,253362,132032,121330,64216,36301,27915,58617,33335,25282
District - Dohad  *  18,Total,1636433,824208,812225,293552,174165,119387,262060,157217,104843
District - Dohad  *  18,Rural,1480110,744132,735978,254957,152790,102167,226791,137633,89158
District - Dohad  *  18,Urban,156323,80076,76247,38595,21375,17220,35269,19584,15685
District - Vadodara  19,Total,3641802,1897368,1744434,750877,429810,321067,670563,386967,283596
District - Vadodara  19,Rural,1995580,1034338,961242,345874,204813,141061,304633,182866,121767
District - Vadodara  19,Urban,1646222,863030,783192,405003,224997,180006,365930,204101,161829
District - Narmada  *  20,Total,514404,263986,250418,103217,59186,44031,91156,52849,38307
District - Narmada  *  20,Rural,462298,236784,225514,87333,50320,37013,76158,44465,31693
District - Narmada  *  20,Urban,52106,27202,24904,15884,8866,7018,14998,8384,6614
District - Bharuch  21,Total,1370656,713676,656980,284129,159318,124811,257670,145464,112206
District - Bharuch  21,Rural,1018096,528788,489308,199994,112474,87520,179796,102067,77729
District - Bharuch  21,Urban,352560,184888,167672,84135,46844,37291,77874,43397,34477
District - Surat  22,Total,4995174,2722539,2272635,1002833,545898,456935,895929,489040,406889
District - Surat  22,Rural,1999357,1026584,972773,384404,206213,178191,343447,185303,158144
District - Surat  22,Urban,2995817,1695955,1299862,618429,339685,278744,552482,303737,248745
District - The Dangs  23,Total,186729,93974,92755,42531,22800,19731,36007,19575,16432
District - The Dangs  23,Rural,186729,93974,92755,42531,22800,19731,36007,19575,16432
District - The Dangs  23,Urban,0,0,0,0,0,0,0,0,0
District - Navsari  *  24,Total,1229463,628988,600475,273468,145058,128410,252382,134252,118130
